Domains,Labels,Sources
bdisk.covid19-pronetplus.yj.fr,0,clean
bdisk.covid19-realtime.com,0,clean
bdisk.covid19-rks.net,0,clean
bdisk.covid19.do,0,clean
bdisk.covid19.hr,0,clean
bdisk.covid19.muhammadiyah.id,0,clean
bdisk.covid19.ooo,0,clean
bdisk.covid19.org.mx,0,clean
bdisk.covid19.trbot.ca,0,clean
bdisk.covid19.wctest.ca,0,clean
bdisk.covid1999.com,0,clean
bdisk.covid19bulgaria.com,0,clean
bdisk.covid19check.online,0,clean
bdisk.covid19chile.cl,0,clean
bdisk.covid19clothes.com,0,clean
bdisk.covid19compendium.com,0,clean
bdisk.covid19coping.com,0,clean
bdisk.covid19costarica.com,0,clean
bdisk.covid19cuore.it,0,clean
bdisk.covid19details.com,0,clean
bdisk.covid19disasterrelief.com,0,clean
bdisk.covid19domainsales.com,0,clean
bdisk.covid19infoapp.com,0,clean
bdisk.covid19kit.org,0,clean
bdisk.covid19mapper.com,0,clean
bdisk.covid19mask.co.za,0,clean
bdisk.covid19misinfo.org,0,clean
bdisk.covid19mundial.com,0,clean
bdisk.covid19mx.com,0,clean
bdisk.covid19news.org.uk,0,clean
bdisk.covid19plans.com,0,clean
bdisk.covid19project.com,0,clean
bdisk.covid19protection.net,0,clean
bdisk.covid19puglia.it,0,clean
bdisk.covid19safeguards.com,0,clean
bdisk.covid19sbarelief.com,0,clean
bdisk.covid19spain.com,0,clean
bdisk.covid19stories.com,0,clean
bdisk.covid19supplies.store,0,clean
bdisk.covid19tally.com,0,clean
bdisk.covid19tips.xyz,0,clean
bdisk.covid19tracker.ma,0,clean
bdisk.covid19trento.it,0,clean
bdisk.covid19tshirts.co.uk,0,clean
bdisk.covid19uz.com,0,clean
bdisk.covid19videos.com,0,clean
bdisk.covid19virus.ir,0,clean
bdisk.covidalert.nl,0,clean
bdisk.covidalerts.org,0,clean
bdisk.covidchroniclers.com,0,clean
bdisk.covidcommunity.com,0,clean
bdisk.coviddate.com,0,clean
bdisk.covideos.xyz,0,clean
bdisk.covidface.com,0,clean
bdisk.covidjokes.com,0,clean
bdisk.covidkleen.com.au,0,clean
bdisk.covidmap.ca,0,clean
bdisk.covidmissoula.org,0,clean
bdisk.covidpharmacy.com,0,clean
bdisk.covidresource-bg.org,0,clean
bdisk.covidsupport.co.za,0,clean
bdisk.covidvirus.site,0,clean
bdisk.covidwatch.su.domains,0,clean
bdisk.covidza.co.za,0,clean
bdisk.cuarentenacoronavirus.es,0,clean
bdisk.cumberlandcoronavirus.com,0,clean
bdisk.curecoronavirus.website,0,clean
bdisk.defeatcovid.org,0,clean
bdisk.desinfeccioncoronavirus.com,0,clean
bdisk.deteccioncoronavirus.com,0,clean
bdisk.directcoronavirus.com,0,clean
bdisk.diyvirusprotection.com,0,clean
bdisk.donatevirus.com,0,clean
bdisk.ecovirusmask.com,0,clean
bdisk.egyptvirus.com,0,clean
bdisk.evitecoronavirus.com,0,clean
bdisk.evitecovid19.com,0,clean
bdisk.fermiamoilcovid.it,0,clean
bdisk.fightagainstcoronavirus.com,0,clean
bdisk.globeantivirus.com,0,clean
bdisk.hartacoronavirus.ro,0,clean
bdisk.hartacovid19.ro,0,clean
bdisk.howtoavoidcoronavirus.org,0,clean
bdisk.howtoprotectagainstcoronavirus.com,0,clean
bdisk.humansvscovid.com,0,clean
bdisk.huroncountyohiocovid19.net,0,clean
bdisk.igotcovid.com,0,clean
bdisk.infocoronavirus.info,0,clean
bdisk.infocovid19.id,0,clean
bdisk.informacioncoronavirus.net,0,clean
bdisk.informatecoronavirus.online,0,clean
bdisk.ip.antivirus-stamp.frontend.office.prod.clops.pyszne.pl,0,clean
bdisk.kcfcacovid19.org,0,clean
bdisk.kill-coronavirus.com,0,clean
bdisk.killcoronavirus.ca,0,clean
bdisk.kitdeteccioncoronavirus.com,0,clean
bdisk.kitsforcoronavirus.com,0,clean
bdisk.koronavirus-covid19.com,0,clean
bdisk.koronavirus.az,0,clean
bdisk.koronavirus.govguru.hu,0,clean
bdisk.koronaviruspolo.hu,0,clean
bdisk.koronavirusstatisztika.hu,0,clean
bdisk.lawanvirus.com,0,clean
bdisk.losmexicanosinmunesalcoronavirus.com,0,clean
bdisk.map.covid19nc.org,0,clean
bdisk.mascaracoronavirus.com.br,0,clean
bdisk.mascarillascoronavirus.doctor,0,clean
bdisk.mascherineantivirus.net,0,clean
bdisk.mensajecoronavirus.com,0,clean
bdisk.n95covidmasks.com,0,clean
bdisk.newscoronavirus.xyz,0,clean
bdisk.nlcovid.info,0,clean
bdisk.norwegiancoronavirusscam.com,0,clean
bdisk.noticias-coronavirus.com,0,clean
bdisk.noticovid19.com,0,clean
bdisk.novel-coronavirus-2019.com,0,clean
bdisk.novel-coronavirus-2019.com.au,0,clean
bdisk.ocoronavirus.com.br,0,clean
bdisk.onlinecoronavirustraining.com,0,clean
bdisk.open-covid.com,0,clean
bdisk.oqueecoronavirus.com,0,clean
bdisk.oregonmuslimcovid19.com,0,clean
bdisk.pancovidemonium.com,0,clean
bdisk.pandemiccoronavirus.info,0,clean
bdisk.pccovidupdates.com,0,clean
bdisk.porracoronavirus.com,0,clean
bdisk.prestacionescoronavirus.com,0,clean
bdisk.prevencioncoronavirus.site,0,clean
bdisk.prevencionsintomastratamientosdelcoronavirus.com,0,clean
bdisk.prevenircoronavirus.net,0,clean
bdisk.previnacoronavirus.com.br,0,clean
bdisk.protectagainstcovid19.com,0,clean
bdisk.protectingyourselffromcoronavirus.com,0,clean
bdisk.protectyourselffromcoronavirus.com,0,clean
bdisk.protectyourselffromcoronavirusnaturally.com,0,clean
bdisk.quehacerencuarentenaporcoronavirus.com,0,clean
bdisk.rcoronavirus.com,0,clean
bdisk.safetytipsforcoronavirus.com,0,clean
bdisk.severeacuterespiratorysyndromecoronavirus2.com,0,clean
bdisk.sincoronavirus.net,0,clean
bdisk.slpcoronavirus.mx,0,clean
bdisk.staysafefromcoronavirus.com,0,clean
bdisk.stopcovid.world,0,clean
bdisk.stopcovid19.mixh.jp,0,clean
bdisk.stopcovid19virus.com,0,clean
bdisk.telefonocoronavirus.com,0,clean
bdisk.telefonocoronavirus.es,0,clean
bdisk.test-covid-19.ro,0,clean
bdisk.test4covid.com.au,0,clean
bdisk.thcovid19.com,0,clean
bdisk.tiendacoronavirus.es,0,clean
bdisk.tipstoavoidcoronavirus.com,0,clean
bdisk.todosobrecoronavirus.cf,0,clean
bdisk.todosobreelcoronavirus.com,0,clean
bdisk.topicvirus.com,0,clean
bdisk.trackcovid.org,0,clean
bdisk.treatingcovid19.com,0,clean
bdisk.trendmicro.antivirussupportaustralia3.s3.amazonaws.com,0,clean
bdisk.unimedcontracoronavirus.com.br,0,clean
bdisk.unimedcontraocoronavirus.com.br,0,clean
bdisk.uscoronaviruscases.com,0,clean
bdisk.virus-truth.com,0,clean
bdisk.virusavcisi.com,0,clean
bdisk.virusbarrierplus.com,0,clean
bdisk.virusfree.store,0,clean
bdisk.virusfreetshirts.com,0,clean
bdisk.virushaber.com,0,clean
bdisk.viruskindness.com,0,clean
bdisk.viruskit.ca,0,clean
bdisk.virusknockout.com,0,clean
bdisk.viruskorunma.com,0,clean
bdisk.viruslands.com,0,clean
bdisk.virusmask.info,0,clean
bdisk.virusnews.live,0,clean
bdisk.virusprotection.healthproject.online,0,clean
bdisk.virusprotectionchina.com,0,clean
bdisk.virustemizligi.com,0,clean
bdisk.virustrap.live,0,clean
bdisk.waroncoronavirus.org,0,clean
bdisk.webinar-coronavirus.legislatiamuncii.ro,0,clean
bdisk.websitevirustemizleme.com,0,clean
bdisk.wecleancovid19.com,0,clean
bdisk.whattodoaboutcovid19.com,0,clean
bdisk.wherecoronavirus.com,0,clean
bdisk.willisurvivecovid19.com,0,clean
bdisk.worldcoronavirusnews.com,0,clean
bdisk.x-covid19.com,0,clean
bdisk.xcovid.com,0,clean
bdisk.xn--coronavirusenespaa-30b.com,0,clean
bdisk.yourcoronavirusinfo.com,0,clean
bdk.siaga-covid19-api.sv.21.rch.line-apps.com,0,clean
bdm.ru.ivirus.ru,0,clean
bdmedical.coronavirus.harvestapp.com,0,clean
bdns-2ecoronavpn.harvestapp.com,0,clean
bdom.net.ivirus.ru,0,clean
bdom.ru.ivirus.ru,0,clean
bdoutbound-11-191-237.usw2.aws.post.pinterest.com-coronavirus.pingone.com,0,clean
bdownloadsecoronavpn.harvestapp.com,0,clean
bdowntownuecoronavpn.harvestapp.com,0,clean
bdr.ru.ivirus.ru,0,clean
bdsm.statusstopcovid19.monday.com,0,clean
bdv.ru.ivirus.ru,0,clean
bdxstopcovid19.adzerk.com,0,clean
bdyet.ru.ivirus.ru,0,clean
bdynamichealthlogicecoronavpn.harvestapp.com,0,clean
bdynipecoronavpn.harvestapp.com,0,clean
be-collection.com.ivirus.ru,0,clean
be-de.60.de.ivirus.ru,0,clean
be-hot.sex.porn.ivirus.ru,0,clean
be-iii.for.sale.ivirus.ru,0,clean
be-mentality.for.sale.ivirus.ru,0,clean
be-my-quarantine.com,1,['Fortinet']
be-no.andador.com.ivirus.ru,0,clean
be-quarantaine.online,1,['Fortinet']
be-quarantainezone.online,1,['Fortinet']
be-tycoon.avira-free-antivirus.ar.test.staging.pyszne.pl,0,clean
be.8.for.sale.ivirus.ru,0,clean
be.8.zoo.com.ivirus.ru,0,clean
be.ac.ivirus.ru,0,clean
be.back.at.ivirus.ru,0,clean
be.brilliant.in.ivirus.ru,0,clean
be.cash.for.sex.ivirus.ru,0,clean
be.caught.in.ivirus.ru,0,clean
be.com.catupiry.com.ivirus.ru,0,clean
be.com.ivirus.ru,0,clean
be.com.mensagens.de.ivirus.ru,0,clean
be.conversando.com.ivirus.ru,0,clean
be.coronavirusgage.com,0,clean
be.coronavirusnewslive.com,1,['Fortinet']
be.covid-19-test.net,1,['Fortinet']
be.famous.tv.ivirus.ru,0,clean
be.gay.boy.porn.ivirus.ru,0,clean
be.gold.ivirus.ru,0,clean
be.gov.ng,0,clean
be.guide.ivirus.ru,0,clean
be.infocoronavirus.org,1,['Fortinet']
be.ivirus.ru,0,clean
be.live.ivirus.ru,0,clean
be.net.ivirus.ru,0,clean
be.one.ivirus.ru,0,clean
be.reaction.hybrid.pro.ivirus.ru,0,clean
be.ru.ivirus.ru,0,clean
be.secure.vlautilityponeocovid19.sa.zen.ly,0,clean
be.ucoz.ru.ivirus.ru,0,clean
be.udc.stopcovid19.adzerk.com,0,clean
be.vanced.com.ivirus.ru,0,clean
be.vintage.group.ivirus.ru,0,clean
be.www.covidapi.pingone.com,0,clean
be1336826056oswe.trustpass.covid-19.foxycart.ru,0,clean
be218207covid19-violncia-contra-a-mulher.monday.com,0,clean
bea6f5a3.pingidentity.covidman-us-east-1.pingone.com,0,clean
beaa.ornamental.fish.ivirus.ru,0,clean
beace.com.ivirus.ru,0,clean
beacon-candidate.covid-19.dnastack.com,0,clean
beacon-candidate.staging.covid-19.dnastack.com,0,clean
beacon.covid-19.dnastack.com,0,clean
beacon.stopcovid.netlify.app,0,clean
beacoronasafebusiness.co.uk,0,clean
beacoronasafebusiness.com,0,clean
beadedcoronavirus.com,1,['Fortinet']
beadstore-5h9.covid19-violncia-contra-a-mulher.monday.com,0,clean
beallucanbegroup.com,0,clean
beans.tv.ivirus.ru,0,clean
beans00bid.stopcovid19.monday.com,0,clean
bear71-moneocovid19.sa.looker.com,0,clean
bearcity3-autilityponeocovid19-sa-mx7.vhx.tv,0,clean
bearcity3-remotecoronavirus.vhx.tv,0,clean
bearcity3.owaautilityponeocovid19-sa.vhx.tv,0,clean
bearcity3coronavirus-warning-bannerforum.vhx.tv,0,clean
bearcity3shop-autilityponeocovid19-sa.vhx.tv,0,clean
beardofcovid.com,1,"['Antiy-AVL', 'Forcepoint ThreatSeeker', 'Fortinet']"
beardsagainstcoronavirus.com,1,['Fortinet']
beardsforcorona.com,1,['Fortinet']
beardsofcovid.com,1,"['Antiy-AVL', 'Forcepoint ThreatSeeker', 'Fortinet']"
bearshopcoronavirusty3.vhx.tv,0,clean
beasia.covid-19.foxycart.ru,0,clean
beastoronterpris-iconstatusbu-covid19-violncia-contra-a-mulher.monday.com,0,clean
beat-corona.com,1,"['Forcepoint ThreatSeeker', 'CRDF', 'Fortinet']"
beat-corona.eu,1,['Fortinet']
beat-corona.org,0,clean
beat-corona.xyz,1,['Fortinet']
beat-coronavirus.com,1,['Fortinet']
beat-covid-19.com,1,"['G-Data', 'ADMINUSLabs', 'Antiy-AVL', 'Forcepoint ThreatSeeker', 'Fortinet']"
beat-covid-2019.com,1,['Fortinet']
beat-covid.com,1,['Fortinet']
beat-covid.net,1,['Fortinet']
beat-covid19.com,1,['Fortinet']
beat-the-corona.tokyo,0,clean
beat.neocovid19.sa.badoocdn.com,0,clean
beat.neocovid19.sa.looker.com,0,clean
beat2020pandemic.com,0,clean
beatcarona.com,1,['Fortinet']
beatcorona.app,1,['Fortinet']
beatcorona.biz,1,['Fortinet']
beatcorona.co,1,['Fortinet']
beatcorona.co.il,1,['Fortinet']
beatcorona.co.za,0,clean
beatcorona.com.au,0,clean
beatcorona.in,0,clean
beatcorona.info,1,['Fortinet']
beatcorona.io,0,clean
beatcorona.live,1,['Fortinet']
beatcorona.net,1,['Fortinet']
beatcorona.online,1,['Fortinet']
beatcorona.org,1,['Fortinet']
beatcorona.shop,1,['Fortinet']
beatcorona.today,0,clean
beatcorona.us,1,['Fortinet']
beatcorona2020.com,1,['Fortinet']
beatcorona2020.nl,0,clean
beatcorona2020.shop,1,['Fortinet']
beatcoronagame.com,1,['Fortinet']
beatcoronanj.com,1,['Fortinet']
beatcoronanow.com,1,['Fortinet']
beatcoronatogether.be,1,['Fortinet']
beatcoronav.com,1,['Fortinet']
beatcoronav.org,1,['Fortinet']
beatcoronavirus-com.mail.protection.outlook.com,0,clean
beatcoronavirus.club,1,['Fortinet']
beatcoronavirus.co,1,"['Netcraft', 'Fortinet']"
beatcoronavirus.co.uk,1,['Fortinet']
beatcoronavirus.com,1,['Fortinet']
beatcoronavirus.in,0,clean
beatcoronavirus.info,1,"['Google Safebrowsing', 'Fortinet']"
beatcoronavirus.net,1,['Fortinet']
beatcoronavirus.online,0,clean
beatcoronavirus.org,1,['Fortinet']
beatcoronavirus.store,1,['Fortinet']
beatcoronavirus.tjn.co.za,0,clean
beatcoronavirus19.com,1,['Fortinet']
beatcoronavirus5050.com,1,['Fortinet']
beatcoronavirusdotcom.wordpress.com,0,clean
beatcoronaviruses.com,1,['Fortinet']
beatcoronavirustogether.com,1,['Fortinet']
beatcovid-19.app,1,['Fortinet']
beatcovid-19.co.uk,1,['Fortinet']
beatcovid-19.com,1,['Fortinet']
beatcovid-19.kars.app,1,['Fortinet']
beatcovid-19.net,1,['Fortinet']
beatcovid-19.org,1,['Fortinet']
beatcovid-19.us,1,['Fortinet']
beatcovid-usa.com,1,['Fortinet']
beatcovid.biz,1,['Fortinet']
beatcovid.club,1,['Fortinet']
beatcovid.co,0,clean
beatcovid.co.uk,0,clean
beatcovid.com,1,['Fortinet']
beatcovid.com.au,0,clean
beatcovid.es,1,['Fortinet']
beatcovid.herokuapp.com,0,clean
beatcovid.in,1,['Fortinet']
beatcovid.info,1,['Fortinet']
beatcovid.live,0,clean
beatcovid.net,1,['Fortinet']
beatcovid.online,0,clean
beatcovid.org,0,clean
beatcovid.wales,0,clean
beatcovid19.ai,0,clean
beatcovid19.app,1,['Fortinet']
beatcovid19.ca,0,clean
beatcovid19.co,1,['Fortinet']
beatcovid19.co.uk,1,"['Kaspersky', 'Sophos', 'CRDF', 'Fortinet']"
beatcovid19.co.za,1,['Fortinet']
beatcovid19.com,1,['Fortinet']
beatcovid19.gov.gi,0,clean
beatcovid19.ie,1,['Fortinet']
beatcovid19.in,0,clean
beatcovid19.info,1,['Fortinet']
beatcovid19.live,0,clean
beatcovid19.net,1,['Fortinet']
beatcovid19.nyc,1,['Fortinet']
beatcovid19.org,1,['Fortinet']
beatcovid19.team,1,['Fortinet']
beatcovid19.tk,0,clean
beatcovid19.us,1,['Fortinet']
beatcovid19.world,1,['Fortinet']
beatcovid19.xyz,1,['Fortinet']
beatcovid19now.com,1,['Fortinet']
beatcovid19now.org,1,['Fortinet']
beatcovid19tees.com,1,['Fortinet']
beatcovid19together.com,1,"['Sangfor', 'G-Data', 'Forcepoint ThreatSeeker', 'Sophos', 'CRDF', 'Fortinet']"
beatcovid19usa.net,1,['Fortinet']
beatcovid2020.com,1,['Fortinet']
beatcovidclothing.com,1,['Fortinet']
beatcovidgardens.com,1,['Fortinet']
beatcovidhoodies.com,1,['Fortinet']
beatcovidnews.com,1,['Fortinet']
beatcovidnow.com,1,['Fortinet']
beatcovidpa.com,1,['Fortinet']
beatcovidph.com,1,['Fortinet']
beatcovidtogether.com,1,['Fortinet']
beatcovidtrial.com,1,['Fortinet']
beatcovidusa.com,1,['ADMINUSLabs']
beatcovidvirus.com,1,['Fortinet']
beatedcorona.com,1,['Fortinet']
beatedcorona.eu,1,['Fortinet']
beating-coronavirus.com,1,['Fortinet']
beating-covid19.com,1,['Fortinet']
beatingcorona.com,1,"['Sangfor', 'AegisLab WebGuard', 'Kaspersky', 'Antiy-AVL', 'Forcepoint ThreatSeeker', 'Certego', 'Fortinet']"
beatingcorona.ng,0,clean
beatingcoronavirus.com,1,"['Sangfor', 'Kaspersky', 'Antiy-AVL', 'Forcepoint ThreatSeeker', 'ESTsecurity-Threat Inside', 'Certego', 'CRDF', 'Fortinet']"
beatingcoronavirus.net,1,['Fortinet']
beatingcovid-19.com,0,clean
beatingcovid.com,1,['Fortinet']
beatingcovid19.com,1,['Fortinet']
beatingcovid19.info,1,['Fortinet']
beatingthecoronavirus.com,1,['Fortinet']
beatingthecoronavirus.planetworldwideproductions.com,0,clean
beatingthevirus.com,1,['Fortinet']
beatoy.1grtopcovid19.monday.com,0,clean
beatoy2013-covid19-violncia-contra-a-mulher.monday.com,0,clean
beatpandemic.com,0,clean
beatscorona.com,1,['Fortinet']
beatthechinavirus.com,0,clean
beatthecorona.com,1,['Fortinet']
beatthecorona.org,1,['Fortinet']
beatthecoronavir.us,1,['Fortinet']
beatthecoronavirus.com,0,clean
beatthecoronavirus.health,1,['Fortinet']
beatthecoronavirus.org,1,['Fortinet']
beatthecoronavirusnow.com,1,['Fortinet']
beatthecovid.com,1,['Fortinet']
beatthepandemic.com,0,clean
beatthepandemic.org,0,clean
beatthequarantine.com,1,['Fortinet']
beatvirusbuy.top,1,['Fortinet']
beatviruses.store,1,['Fortinet']
beatviruspro.top,1,['Fortinet']
beaute.ru.ivirus.ru,0,clean
beautiful.girl.be.ivirus.ru,0,clean
beautiful160-105.stopcovid19.monday.com,0,clean
beautifulcoronahomes.com,0,clean
beauty-salon-la-alegria-ubecity-comtopcovid19.adzerk.com,0,clean
beauty.com.ivirus.ru,0,clean
beauty.ru.ivirus.ru,0,clean
beautyunderquarantine.com,1,['Fortinet']
beaverty22.covid-19.foxycart.ru,0,clean
beb.ivirus.ru,0,clean
